"","i","Coefficients (1)","NeweyWest SE (1)","Coefficients (2)","NeweyWest SE (2)","Coefficients (3)","NeweyWest SE (3)","Coefficients (4)","NeweyWest SE (4)","Coefficients (5)","NeweyWest SE (5)","Coefficients (6)","NeweyWest SE (6)","Coefficients (7)","NeweyWest SE (7)","Coefficients (8)","NeweyWest SE (8)","Coefficients (9)","NeweyWest SE (9)","Coefficients (10)","NeweyWest SE (10)","Coefficients (11)","NeweyWest SE (11)","Coefficients (12)","NeweyWest SE (12)","Coefficients (13)","NeweyWest SE (13)","Coefficients (14)","NeweyWest SE (14)","Coefficients (15)","NeweyWest SE (15)","Coefficients (16)","NeweyWest SE (16)"
"Intercept",1,0.0252614759507577,0.00279628206465649,0.0252670316594672,0.00308396143800931,0.0250277952396972,0.00319104032426877,0.0225734515471172,0.00278323624290794,0.0218150618998471,0.00278572062673939,0.0205675154144404,0.00255274308027672,0.0206802173451695,0.00217401929115013,0.0175846468335609,0.00202623416143307,0.0163945716473172,0.00219413145509988,0.01565441048882,0.00286807585067672,0.0160302110229694,0.00265702759106153,0.0131828024520932,0.0033996565018603,0.0121906262001524,0.0033488220745927,0.0138125782936586,0.00390320924834485,0.0135521842577474,0.00324939647190451,0.0127113131695302,0.00357015735751067
"Cumulative",2,0.102625945578222,0.172090150410779,0.0694664047038742,0.191833765023467,-0.00227182262048797,0.196604506726644,0.173292684240234,0.236800139030337,0.201863053005599,0.226509264241867,0.301734989865571,0.234225136636284,0.200347636994871,0.255699893645827,0.53266533710987,0.283144074439445,0.603935452021147,0.320100889877928,0.662224267882463,0.377103522538778,0.581182272323217,0.395171424219884,0.900193908501759,0.392364525006184,0.981738242889108,0.383011765284034,0.735784670399492,0.477857657680775,0.720391852593433,0.42050082237122,0.752566680141916,0.419764792868482
"Contemporaneous",3,0.0961578352634377,0.0817579601483338,0.0865000958790892,0.0739694448598356,0.0217337136763463,0.0702479850384111,0.0612112809187899,0.0755988846736853,0.0552156162287583,0.0729258069699787,0.0707453381349937,0.0721210040856099,0.0479767666939033,0.0715117760102876,0.0582311978453874,0.0645144015983997,0.0610537040571828,0.0650841286534199,0.068118623454874,0.0707746901565433,0.0669943677842885,0.0807531685240433,0.0816123258327003,0.0765770514237301,0.084189254595981,0.0832455235512116,0.0575167560911449,0.0900711608155865,0.0598009741918068,0.0889840448178437,0.0594896338045216,0.088121811207271
"4",4,NA,NA,0.105067866864664,0.159130468209665,0.0320165429618191,0.154599664567806,0.0131162010180465,0.1610547743183,0.0229251623245974,0.152061680077737,0.0319986397404632,0.151342311957137,0.0141929159949238,0.147434361361181,0.0229450021601723,0.146639410084049,0.0338413085137542,0.147003670452946,0.0432295008147434,0.153652352082183,0.0492788972107555,0.153964560730135,0.0209818042210868,0.130841776992572,0.0198696783111469,0.142742261688946,-0.0253485289883191,0.142727425698385,-0.0310262712139308,0.140511424501443,-0.0264530998040415,0.141119923575915
"5",5,NA,NA,NA,NA,0.01910731751678,0.184887486058272,0.0397607545469304,0.190222258055803,0.0125070637194776,0.18429883722348,0.0443384148377198,0.182117987915198,0.0124775515889515,0.187296723482062,0.0588586326762092,0.185957964932166,0.0553436837614974,0.19178053505569,0.0707848470958457,0.201986366306419,0.0656276062883796,0.203986886587557,0.0516592776293997,0.182681288855217,0.030868337982303,0.20410326460886,-0.0401112121474676,0.214650547730615,-0.0493791224937637,0.210180120640207,-0.0526965317793339,0.20729862765523
"6",6,NA,NA,NA,NA,NA,NA,0.0363980221440797,0.200127176111538,0.0194115924419229,0.184589666798393,0.0252467353163902,0.179691706638318,0.0023503584889182,0.180501823664538,0.0386238497306319,0.180063858105887,0.0527756902016612,0.185639005617933,0.0624668475138236,0.196181384277421,0.061750233142079,0.193919155101228,0.0656898873634785,0.165485603870203,0.0512319664684449,0.183113005878997,-0.0229052400484555,0.18889558296538,-0.0420977349087329,0.186151930400413,-0.047222601976341,0.178218014705268
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,0.167343914326795,0.217528796633522,0.19510542811356,0.20073676060376,0.111702327335956,0.210308763062358,0.200631447900966,0.208475614795949,0.202623679361476,0.2202882195142,0.223668333278874,0.237445082241743,0.209458910193053,0.23952085304253,0.231732169266473,0.216167818241756,0.21806085062456,0.238146724043603,0.138445571932015,0.247373229651125,0.102674595936298,0.257575460620642,0.0876601338706271,0.249518858191702
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2370144437745,0.215027881922798,0.14642267532041,0.222775560569904,0.222544155286909,0.229497291025869,0.249719165449353,0.240710730097568,0.266084656165505,0.260190066061293,0.252390514814096,0.261078354120253,0.267729295905117,0.227129014892069,0.260302503176495,0.242423751798352,0.160504932703285,0.261893431604673,0.12806337836664,0.260361530778668,0.0832437017328374,0.233728536645932
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221551918929837,0.2452229298072,0.362225055443861,0.250318315400362,0.34818044321514,0.271116210976409,0.378109051538621,0.298905408319868,0.355198171144396,0.30698088474878,0.413058537185757,0.286385407801782,0.395627332353385,0.311765384504479,0.287746335007963,0.33195161925917,0.249609250875006,0.336490111649653,0.212492136804099,0.307775104667521
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345691874186008,0.259006121584496,0.351980006873811,0.279791883442037,0.364982320658588,0.310699828064497,0.341930953604692,0.317644384204693,0.39333980644558,0.284117227527575,0.393348085919162,0.295025449619947,0.264565297759209,0.321764535242449,0.230079399843897,0.314714255358149,0.186822958026746,0.279669214615657
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547007241139893,0.308074476866139,0.570858309818626,0.340211892604196,0.522686032881888,0.355336285644439,0.623503991694361,0.326439983098668,0.615747209415472,0.347203174127132,0.478993963352822,0.377171421786071,0.430143441514066,0.382234426838361,0.39652723601292,0.349476237219797
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632542676024306,0.350309083475736,0.575032308455013,0.365806003883215,0.670947483048108,0.338501963868743,0.684890040921015,0.343544537726422,0.529841016768276,0.383038247999874,0.49242080891641,0.369220515906875,0.436372751695919,0.326020327656729
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609309956178121,0.391742373447016,0.758001404669999,0.370296915417204,0.753839294453498,0.402790172708496,0.587669397562401,0.448175581554037,0.536596636850416,0.4479356070022,0.505246917153438,0.411227354104265
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730163245461945,0.36615221044309,0.745093568257336,0.377507564309107,0.546886759909717,0.431217925099979,0.510911374606621,0.409112052812024,0.456840104020328,0.373065535898178
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91963489549851,0.395978999298036,0.709099384818744,0.457284009339008,0.649800145567302,0.458971709826168,0.627260206455395,0.434194086942203
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777990635927172,0.443400486774894,0.730450296664805,0.421843657372112,0.671240467082339,0.399698215825831
"17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.690811543969653,0.454486988843338,0.657364679560433,0.440821211599077
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68736915300199,0.403315391893969
