Year,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.PP.CD,NY.GDP.PCAP.PP.KD,SL.GDP.PCAP.EM.KD,EG.GDP.PUSE.KO.PP.KD,NY.GDP.MKTP.KN,NY.GDP.MKTP.CN,NY.GDP.DEFL.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.CN,EG.GDP.PUSE.KO.PP,NY.GDP.MKTP.PP.KD,NY.GDP.MKTP.PP.CD
1960,13056164925.448,127596504495.208,3342.4876473939,342.0161873422,..,..,..,..,..,1643730145227.06,163202064,0.0099287626,..,43058.7634653959,4.2752024055,..,..,..
1961,14153954349.0897,133976329719.968,3400.921577011,359.2909945097,1.7482167709,..,..,..,..,1725916652488.41,176924432,0.0102510415,5,43811.5239896408,4.4911374983,..,..,..
1962,15221053213.1887,140225541295.077,3449.6176048781,374.4454301554,1.4318480084,..,..,..,..,1806420561984.57,190263168,0.0105326064,4.664414668,44438.838423329,4.6805679467,..,..,..
1963,16936337667.6289,151593467374.813,3614.5422298493,403.8241804132,4.7809538291,..,..,..,..,1952865034424.46,211704224,0.0108406992,8.10688693,46563.4387705559,5.0478023304,..,..,..
1964,20070134740.9317,169641398473.748,3921.0510251739,463.8963313751,8.4798786633,..,..,..,..,2185363005459.51,250876688,0.0114798634,11.9054807648,50511.9618797543,5.7987042286,..,..,..
1965,21829715343.8799,181685937765.384,4071.5723019725,489.202771812,3.838799236,..,..,..,..,2340523778847.13,272871445.8646,0.0116585633,7.1,52451.0146864964,6.1150347388,..,..,..
1966,24337233447.211,192761765621.299,4189.4750687831,528.944277106,2.8957552038,..,..,..,..,2483205368771.07,304215422.6233,0.0122509168,6.0961393007,53969.8676737225,6.6118035623,..,..,..
1967,26556372081.1913,204047822191.711,4302.1240826729,559.9119199203,2.6888574831,..,..,..,..,2628595177676.22,331954655.9614,0.0126285956,5.8549248779,55421.04049929,6.9988991033,..,..,..
1968,29363632833.6558,223275817400.284,4566.5646512904,600.5618041978,6.1467443415,..,..,..,..,2876295030283.07,367045415.8901,0.0127610489,9.4232788187,58827.6301701993,7.5070226643,..,..,..
1969,32515754313.9575,230908769207.192,4579.4218436154,644.8579500823,0.2815506471,..,..,..,..,2974624628195.78,406446934.981,0.0136638059,3.418620026,58993.2597436049,8.0607244961,..,..,..
1970,35541711470.3873,245923575056.069,4726.5854604001,683.1022061849,3.2135850728,..,..,..,..,3168049119690.82,444271400,0.014023501,6.5024840332,60889.0583326551,8.5387777045,..,..,..
1971,39200879415.8614,255176370101.414,4750.1586359508,729.7321292724,0.4987358369,..,..,..,..,3287245944116.47,490011000,0.0149064295,3.7624676867,61192.7338872845,9.1216517518,..,..,..
1972,45178119326.7936,276174341898.257,4977.896893676,814.3117797012,4.7943295199,..,..,..,..,3557747078670.62,564726500,0.0158731491,8.2288073102,64126.5151920732,10.1788973979,..,..,..
1973,55271303176.3935,297884737939.479,5200.1965795876,964.8753531832,4.4657350415,..,..,..,..,3837425840866.77,690891300,0.01800403,7.8611198607,66990.2354519102,12.0609420945,..,..,..
1974,71976542927.466,315093024598.583,5332.3808608911,1218.0731085002,2.5419093159,..,..,..,..,4059107301821.99,899706800,0.0221651396,5.7768272313,68693.0664876304,15.2259140831,..,..,..
1975,88003982688.6386,333193496286.925,5473.6383280528,1445.7124104578,2.6490505995,..,..,..,..,4292282113895.9,1100049800,0.0256285531,5.7444850489,70512.7805772186,18.0714054,..,..,..
1976,89023916066.8009,347912132847.362,5555.9190271863,1421.6511080031,1.5032176809,..,..,..,..,4481891278400.4,1370968300,0.0305890575,4.4174441352,71572.7411621194,21.8934269446,..,..,..
1977,81825780563.8082,359708579770.111,5590.9461064941,1271.8171180305,0.6304461807,..,..,..,..,4633856063722.72,1849262700,0.0399076422,3.3906397073,72023.9687751743,28.7430677885,..,..,..
1978,102517450025.753,391927469805.037,5935.9913826932,1552.6921351833,6.171500666,..,..,..,..,5048907878862.01,2337397900,0.0462951188,8.9569423269,76468.928487828,35.4013812791,..,..,..
1979,134540322292.806,429937262645.737,6351.7001121259,1987.6383240985,7.0031895707,..,..,..,..,5538559555083.59,3067519400,0.0553847868,9.6981701384,81824.1925125426,45.3181545536,..,..,..
1980,194356825709.199,469634453479.207,6773.804353004,2803.3188414344,6.6455316439,..,..,21248,..,6049948715091.94,4470207000,0.0738883453,9.2332519841,87261.8451183441,64.4763334783,..,..,..
1981,250083027275.13,510833608181.965,7199.8347160598,3524.7415848008,6.2893809867,..,..,22358,..,6580686550040.55,6127034008,0.0931063037,8.7726005615,92750.0750138825,86.3561665691,..,..,..
1982,173720847690.773,507626070623.95,6997.1068204428,2394.5644216739,-2.8157298551,..,..,21471,..,6539366247443.58,9797855992,0.1498288308,-0.6279026099,90138.4834611016,135.0534358944,..,..,..
1983,148866911934.175,486324575210.826,6560.1297943142,2008.0956508183,-6.2451101197,..,..,20460,..,6264955045604.71,17878915976,0.2853797968,-4.1962965746,84509.235908742,241.1722856764,..,..,..
1984,175632163244.416,503881772195.188,6654.4337074802,2319.4579595917,1.4375312093,..,..,20337,..,6491131256803.12,29471076000,0.454020645,3.6101809119,85724.0825496993,389.2050325133,..,..,..
1985,184473097296.041,516949362154.767,6685.6142275784,2385.7577824395,0.4685675967,..,..,19920,..,6659471225260.74,47391141000,0.7116351944,2.593384139,86125.7578231093,612.9012041143,..,..,..
1986,129440191340.197,497543497274.209,6302.8505265728,1639.7404098694,-5.7251837748,..,..,18579,..,6409480010967.13,79191511000,1.2355372178,-3.753919881,81194.8999102632,1003.1932073094,..,..,..
1987,140263673924.031,506776645758.029,6289.8092904495,1740.8690134888,-0.2069101285,..,..,18282,..,6528423743464,193311403000,2.9610731563,1.8557469919,81026.8994385292,2399.2657686909,..,..,..
1988,183144276294.09,513088234975.12,6240.1916766087,2227.405172532,-0.7888572062,..,..,17881,..,6609731217375.34,416305236000,6.298368607,1.2454380583,80387.7129033879,5063.1144733649,..,..,..
1989,222977042346.502,534629183757.513,6372.0943314246,2657.6004279976,2.1137596672,..,..,17963,..,6887227117521.58,548857974000,7.969215544,4.1982932591,82086.9159561223,6541.6832659642,..,..,..
1990,262709785592.711,561725828425.396,6561.4967769825,3068.702424242,2.9723735354,6019.2580136362,12538.1084052323,18228,8.7621573658,7236292884262.69,738897516000,10.2109951576,5.0683063123,84526.8457220271,8631.032123527,4.2065106024,1073379987859.33,515305091069.619
1991,314453895611.752,585443301236.127,6702.4844255597,3600.0451853224,2.1487116944,6353.264732537,12807.5162067968,18417,8.737584027,7541827312355.63,949147624000,12.5851147831,4.2222507157,86343.0839409959,10866.3762212068,4.3343442671,1118700782078.45,554939936071.975
1992,363609268789.416,606687040601.123,6808.290291153,4080.4521751764,1.578606661,6600.6619167041,13009.6965107438,18433,8.9538527615,7815494486309.45,1125334287000,14.3987599118,3.6286587139,87706.1016153864,12628.5909995577,4.5428696113,1159294615489.33,588185267225.965
1993,503962814551.767,631327184921.401,6946.2795683902,5544.9324622148,2.0267831032,8442.9855492188,13273.3748413999,18144,9.2822516941,8132915000000,1570146600000,19.3060741444,4.0614258541,89483.7140633945,17275.7921842305,5.9042947143,1206378506727.68,767358446581.444
1994,527318769550.83,661172261085.274,7135.1836582382,5690.6747131306,2.7195002445,8853.9728194951,13634.3443026689,18304,9.4071641653,8517386750000,1779753525000,20.895534948,4.7273548291,91917.223886161,19206.5956403364,6.1088948599,1263408299322.82,820441562410.828
1995,343792780638.899,623097450585.385,6598.7250142071,3640.8334188728,-7.5184980475,7978.6076717343,12609.2463924816,17325,9.1635321594,8026897500000,2206943450000,27.4943519585,-5.7586823799,85006.4292029523,23371.9668324336,5.7983027464,1190652628203.55,753395555774.036
1996,397404138184.313,659702972014.333,6858.9233027187,4131.8057059322,3.9431600491,8348.0343259606,13106.4491587252,17499,9.4787515292,8498459000000,3020033025000,35.5362428059,5.8747666829,88358.3687584677,31399.244461343,6.0374051106,1260600692114.25,802928216609.585
1997,480554647428.728,705637356375.022,7205.8351959253,4907.3331516863,5.0578185219,8926.804061795,13769.3495718363,17666,9.8430961757,9090197250000,3805271950000,41.861269292,6.9628888014,92827.3746991664,38858.7172995479,6.3813755663,1348374916535.46,874164652364.625
1998,502010268264.169,738815312900.315,7415.4197013994,5038.6297747096,2.908538702,9265.6320211837,14169.8364331435,18080,9.9819137879,9517604000000,4586365650000,48.188237817,4.701842416,95527.2948183199,46032.9200071957,6.5271565033,1411773380288.05,923156219958.552
1999,579459682094.357,758519614430.567,7490.3259232595,5722.1221385731,1.0101413659,9710.5042620532,14312.9718124372,18546,9.8793270545,9771439750000,5539866350000,56.6944738108,2.6670131474,96492.2555390194,54705.7765460013,6.7025386989,1449425561952.2,983349459588.51
2000,683647980782.407,798694407368.499,7768.7516905786,6649.7165342157,3.717138215,10318.5303136191,14845.0047573749,19337,10.5391707313,10288981500000,6464301700000,62.8274207705,5.2964738385,100079.006044145,62877.058230251,7.3256125174,1526194007649,1060833552415.43
2001,724703571306.821,793858373511.829,7615.710874688,6952.2890393048,-1.9699537582,10301.6212989308,14552.5650282582,19285,10.2175019865,10226682500000,6770398475000,66.20327242,-0.6054923901,98107.4959034508,64950.3727773686,7.2328717227,1516953019074.72,1073836502392.04
2002,741559499084.745,794905609001.193,7529.0626159768,7023.7872759469,-1.1377566735,10348.6155830997,14386.9922484837,18992,10.1828182149,10240173250000,7160498625000,69.925561318,0.1319171686,96991.271321605,67821.6909011139,7.3245379881,1518954140547.11,1092589209571.33
2003,713284260879.765,806214502504.701,7542.5805488552,6673.1669738041,0.1795433717,10588.3432928188,14412.8231394534,19099,9.8229152864,10385857250000,7695623575000,74.0971437384,1.4226712424,97165.4127203941,71996.795527463,7.2163793438,1540563864289.96,1131771263810.31
2004,770267585947.191,840847173784.228,7767.0800894575,7115.1217687272,2.9764288117,11198.54857407,14841.8105599563,19241,9.9907009123,10832004000000,8693239975000,80.2551399999,4.2957142512,100057.472059617,80301.2642818548,7.5382547839,1606742085757.47,1212330478190.02
2005,866346483685.297,866346483685.297,7893.9682337565,7893.9682337565,1.6336659702,12070.8960874487,15084.2761684348,19708,9.8134875967,11160492500000,9441350125000,84.5961782153,3.0325736586,101692.07693129,86027.6106315869,7.8530509328,1655467723011.42,1324755569141.09
2006,965281191371.844,909183109876.842,8162.6844055261,8666.3353533106,3.4040695859,13144.1810373981,15597.7554257446,19998,10.1669969573,11712324653000,10520792761000,89.8266831965,4.9445143483,105153.745993425,94456.1222828034,8.5676974004,1737322562106.68,1464036436870.62
2007,1043124412346.04,938502790656.339,8295.1032649017,9219.8177828529,1.6222464669,13712.8981327308,15850.7894620598,20304,10.217768408,12090028128000,11399472203000,94.2882190373,3.2248378199,106859.598922653,100756.012694573,8.8396365152,1793348397143.24,1551468710462.94
2008,1101275294482.33,951453595784.944,8275.4653448483,9578.570699612,-0.2367411161,14272.1951409367,15813.2641261719,20125,10.0537098999,12256863645000,12256863645000,100,1.3799431667,106606.618315471,106606.618315471,9.073933657,1818095585804.09,1640914537215.99
2009,893368974136.974,906319758574.654,7758.549932304,7647.6847472834,-6.2463606698,13906.0076958795,14825.5106151818,19382,9.8808777498,11675438244000,12072541632000,103.4011861457,-4.7436719363,99947.5844376007,103346.987832414,9.2680492158,1731851095724.95,1624438799470.87
2010,1049925441358.02,953440454744.297,8037.9380542576,8851.3505140582,3.6010353016,14582.7344548206,15359.382486075,18843,10.3358699381,12282458860000,13266857877000,108.0146738387,5.1991248921,103546.732236283,111845.66509564,9.8132360987,1821892197136.07,1729768116669.53
2011,1169362160456.56,990811353614.993,8231.7045887347,9715.1125963615,2.4106497608,15729.6434032338,15729.6434032338,19444,10.3121379892,12763880144000,14527336928000,113.8159929747,3.9195839326,106042.881289238,120693.758318377,10.3121379892,1893302790963.6,1893302790963.6
2012,1184499844413.23,1030829094647.59,8444.5069434538,9703.3710171782,2.5851553882,16116.5826011984,16136.2791272224,19338,10.4557441156,13279398712000,15599270701000,117.4697065681,4.0388859985,108784.254548725,127788.544610728,10.4429814561,1969771132296.84,1967366758397.33
2013,1258773797056.06,1045208125447.83,8446.8013960439,10172.7225491296,0.027170948,16155.9811167658,16140.6635072326,19429,10.9422710833,13464632990000,16077058936000,119.4021325939,1.3948995886,108813.812261956,129926.012397484,10.9526553798,1997247461717.28,1999142864390.54
2014,1294689733233.03,1068524572517.2,8521.8923617727,10325.6460658759,0.8889869929,17107.9059894969,16284.151906383,19549,..,13765001304000,17209663279000,125.0247849522,2.230794662,109781.152899467,137253.650330656,..,2041801951480.38,2145089043378.76
2015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
